nivel,codigo_ibge,name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
MU,4103453,  Cafelândia,2663.0,2650.0,2592.0,3148.0,3468.0,2747.0,3291.0,3460.0,2973.0,3853.0,3826.0,4008.0,3434.0,4515.0
MU,4103479,  Cafezal do Sul,1400.0,2200.0,1800.0,2500.0,2500.0,1610.0,2750.0,2677.0,900.0,2200.0,2230.0,2500.0,2800.0,3000.0
MU,4103503,  Califórnia,3120.0,2570.0,2500.0,2148.0,3000.0,2700.0,2800.0,3300.0,2600.0,3400.0,3000.0,3600.0,2290.0,3950.0
MU,4103602,  Cambará,2800.0,1790.0,2200.0,2300.0,2727.0,1090.0,2264.0,3471.0,2218.0,3223.0,1983.0,2800.0,3067.0,2250.0
MU,4103701,  Cambé,3101.0,2220.0,2640.0,2820.0,2940.0,2700.0,3200.0,3240.0,2820.0,3446.0,2880.0,3248.0,2100.0,4050.0
MU,4103800,  Cambira,3240.0,2520.0,2800.0,2433.0,3100.0,2800.0,2900.0,3200.0,2500.0,3350.0,2850.0,3250.0,2727.0,3700.0
MU,4103909,  Campina da Lagoa,2975.0,2780.0,2691.0,2691.0,3100.0,2458.0,3556.0,3176.0,2483.0,3337.0,3431.0,3270.0,3271.0,4100.0
MU,4103958,  Campina do Simão,2600.0,2000.0,2800.0,2426.0,2650.0,2500.0,2800.0,3150.0,2600.0,3346.0,3150.0,3100.0,3250.0,3780.0
MU,4104055,  Campo Bonito,2500.0,2850.0,3100.0,3200.0,3480.0,2257.0,3149.0,3590.0,2724.0,3896.0,3561.0,3707.0,3543.0,3500.0
MU,4104105,  Campo do Tenente,2700.0,2400.0,3000.0,3100.0,3100.0,2650.0,2900.0,3020.0,3200.0,3207.0,3000.0,3296.0,3400.0,3400.0
MU,4104204,  Campo Largo,2480.0,2500.0,3020.0,3345.0,3100.0,3149.0,3174.0,3174.0,3166.0,3275.0,2849.0,3322.0,3420.0,3600.0
MU,4104253,  Campo Magro,2500.0,2500.0,3000.0,3353.0,3071.0,3076.0,3173.0,3173.0,3173.0,3287.0,2806.0,3272.0,3390.0,3600.0
MU,4104303,  Campo Mourão,2733.0,2280.0,2677.0,3099.0,2984.0,2407.0,2982.0,3400.0,2496.0,3293.0,3221.0,3574.0,3048.0,3840.0
MU,4104402,  Cândido de Abreu,2500.0,1650.0,2200.0,2400.0,2800.0,3000.0,2900.0,3434.0,3000.0,2807.0,3100.0,1718.0,2857.0,2012.0
MU,4104428,  Candói,2694.0,2500.0,2861.0,2852.0,2886.0,2157.0,3216.0,3363.0,2949.0,3380.0,3398.0,3448.0,3599.0,4070.0
MU,4104451,  Cantagalo,2296.0,1800.0,2646.0,2566.0,2649.0,2450.0,2749.0,3200.0,2779.0,3298.0,2818.0,3199.0,3298.0,3690.0
MU,4104501,  Capanema,2250.0,1580.0,1500.0,3000.0,2800.0,2400.0,3300.0,3200.0,1590.0,3200.0,3200.0,3465.0,2829.0,3600.0
MU,4104600,  Capitão Leônidas Marques,2749.0,1450.0,2298.0,3300.0,3300.0,3346.0,3282.0,3700.0,3300.0,3282.0,3426.0,3426.0,3401.0,3599.0
MU,4104659,  Carambeí,3146.0,2600.0,2814.0,3350.0,3150.0,2255.0,3250.0,3598.0,3498.0,3695.0,3590.0,3778.0,3445.0,4200.0
MU,4104709,  Carlópolis,2500.0,1780.0,2500.0,2500.0,3430.0,2727.0,3200.0,3200.0,2726.0,3300.0,2231.0,3000.0,3000.0,2879.0
MU,4104808,  Cascavel,2734.0,2355.0,2680.0,2844.0,3236.0,2549.0,3317.0,3471.0,2627.0,3523.0,3655.0,3655.0,3573.0,3900.0
MU,4104907,  Castro,3098.0,3150.0,3000.0,3300.0,3126.0,2578.0,3245.0,3496.0,3546.0,3690.0,3542.0,3727.0,3381.0,4000.0
MU,4105003,  Catanduvas,2764.0,2850.0,3075.0,3491.0,3595.0,3080.0,3429.0,3758.0,2571.0,3754.0,3273.0,3373.0,4068.0,3750.0
MU,4105102,  Centenário do Sul,1559.0,1979.0,1739.0,2879.0,2519.0,2399.0,2900.0,3300.0,2580.0,3300.0,1620.0,3100.0,2400.0,3240.0
MU,4105300,  Céu Azul,2728.0,2980.0,2917.0,3295.0,3595.0,2843.0,3495.0,3591.0,1735.0,3991.0,3736.0,3792.0,3717.0,3965.0
MU,4105409,  Chopinzinho,2345.0,1011.0,1875.0,2733.0,2662.0,2775.0,2999.0,3402.0,1496.0,2750.0,2700.0,2598.0,3189.0,3728.0
MU,4105508,  Cianorte,2550.0,2000.0,1800.0,2593.0,2000.0,1700.0,3100.0,3100.0,2558.0,3013.0,2236.0,3197.0,2247.0,2727.0
MU,4105607,  Cidade Gaúcha,1750.0,2500.0,1800.0,2600.0,2250.0,1800.0,2900.0,3200.0,1000.0,2799.0,1500.0,2900.0,3200.0,3000.0
MU,4105706,  Clevelândia,2238.0,2199.0,2465.0,2750.0,2670.0,2669.0,2849.0,3052.0,2152.0,2770.0,2524.0,3187.0,2585.0,3814.0
MU,4105904,  Colorado,1364.0,1250.0,2109.0,3107.0,2455.0,2000.0,3300.0,3306.0,1910.0,2200.0,1440.0,2730.0,2780.0,3230.0
MU,4106001,  Congonhinhas,2500.0,1720.0,2650.0,2750.0,2869.0,2231.0,3149.0,3480.0,2355.0,3490.0,1880.0,3027.0,2820.0,3600.0
MU,4106100,  Conselheiro Mairinck,3000.0,2550.0,3000.0,2985.0,3070.0,2670.0,3200.0,3331.0,3010.0,3347.0,2730.0,3347.0,3000.0,3200.0
MU,4106209,  Contenda,2680.0,2680.0,3020.0,3346.0,3125.0,3050.0,3180.0,3220.0,3158.0,3420.0,2975.0,3521.0,3670.0,3600.0
MU,4106308,  Corbélia,3091.0,3100.0,2181.0,3372.0,3460.0,2705.0,3540.0,3739.0,2515.0,3716.0,3965.0,3965.0,4084.0,3979.0
MU,4106407,  Cornélio Procópio,2700.0,2000.0,2230.0,2900.0,2920.0,1983.0,2999.0,3473.0,2404.0,3369.0,1690.0,3050.0,2640.0,3600.0
MU,4106456,  Coronel Domingos Soares,2130.0,2050.0,2500.0,2876.0,2650.0,2700.0,2800.0,3000.0,2700.0,2850.0,3000.0,2900.0,3250.0,3300.0
MU,4106506,  Coronel Vivida,2226.0,900.0,2390.0,2837.0,2445.0,2461.0,3355.0,3726.0,1698.0,3234.0,3196.0,3329.0,3142.0,4000.0
MU,4106555,  Corumbataí do Sul,3100.0,2000.0,1900.0,3100.0,2900.0,2030.0,3200.0,3297.0,2480.0,3353.0,3087.0,3499.0,2400.0,3480.0
MU,4106803,  Cruz Machado,2400.0,1200.0,2500.0,2332.0,2173.0,2300.0,2428.0,2400.0,2500.0,2340.0,2338.0,2500.0,2900.0,2950.0
MU,4106571,  Cruzeiro do Iguaçu,2214.0,1650.0,2538.0,2691.0,2578.0,1750.0,2953.0,3482.0,2085.0,2738.0,2708.0,3271.0,3129.0,3960.0
MU,4106605,  Cruzeiro do Oeste,2000.0,2000.0,2278.0,3200.0,1800.0,1860.0,2980.0,2985.0,1610.0,2650.0,2733.0,2800.0,3200.0,3200.0
MU,4106704,  Cruzeiro do Sul,1500.0,2900.0,2000.0,3000.0,2200.0,2150.0,3212.0,3300.0,1508.0,3740.0,2408.0,1396.0,2750.0,3200.0
MU,4106852,  Cruzmaltina,3000.0,2480.0,2650.0,3000.0,3000.0,2333.0,3000.0,3500.0,2800.0,4000.0,3300.0,3300.0,2600.0,2600.0
MU,4107009,  Curiúva,3287.0,2850.0,2476.0,3000.0,2459.0,2479.0,2975.0,3400.0,2800.0,3470.0,2850.0,3600.0,2300.0,3200.0
MU,4107124,  Diamante do Sul,2300.0,2700.0,2300.0,2500.0,3179.0,1838.0,2726.0,3050.0,1740.0,3100.0,2980.0,3150.0,2900.0,3500.0
MU,4107157,  Diamante D'Oeste,2100.0,2730.0,1898.0,3000.0,3222.0,1735.0,2973.0,3000.0,1800.0,3460.0,3444.0,3453.0,3340.0,3060.0
MU,4107207,  Dois Vizinhos,2303.0,2040.0,2373.0,2382.0,2468.0,2025.0,2864.0,3390.0,2097.0,2747.0,2520.0,3338.0,3222.0,3700.0
MU,4107256,  Douradina,1300.0,2000.0,1500.0,2677.0,2300.0,2100.0,2500.0,2501.0,2600.0,2100.0,2200.0,2761.0,3199.0,2700.0
MU,4107306,  Doutor Camargo,2700.0,2750.0,2400.0,3000.0,3000.0,1750.0,3300.0,3500.0,3100.0,3300.0,3219.0,3500.0,3224.0,3200.0
MU,4107405,  Enéas Marques,2380.0,1050.0,1238.0,2945.0,2752.0,2457.0,2924.0,3500.0,1881.0,3016.0,2237.0,3302.0,3120.0,3500.0
MU,4107504,  Engenheiro Beltrão,3177.0,2450.0,2760.0,3095.0,2997.0,1735.0,3118.0,3350.0,1751.0,3348.0,2783.0,3160.0,2805.0,3495.0
MU,4107538,  Entre Rios do Oeste,1833.0,3000.0,1700.0,2465.0,2988.0,2099.0,3296.0,3200.0,1240.0,3894.0,3431.0,3209.0,3287.0,3800.0
MU,4107546,  Espigão Alto do Iguaçu,2615.0,2910.0,2304.0,2952.0,3037.0,2370.0,3165.0,3557.0,2215.0,3436.0,2974.0,3206.0,2420.0,4000.0
MU,4107553,  Farol,2735.0,2230.0,2679.0,2975.0,2947.0,2342.0,3120.0,3366.0,2460.0,3318.0,3305.0,3460.0,3083.0,3480.0
MU,4107603,  Faxinal,3000.0,2280.0,2650.0,3000.0,3100.0,3000.0,3100.0,3500.0,2800.0,3500.0,3300.0,3500.0,2650.0,2650.0
MU,4107652,  Fazenda Rio Grande,2478.0,2484.0,2950.0,3495.0,3173.0,3190.0,3170.0,3180.0,3199.0,3247.0,2915.0,3422.0,3495.0,3600.0
MU,4107702,  Fênix,2975.0,2280.0,2230.0,3000.0,2850.0,1619.0,3222.0,3470.0,1998.0,3427.0,2928.0,2987.0,3221.0,3480.0
MU,4107736,  Fernandes Pinheiro,2668.0,2450.0,2650.0,2850.0,2696.0,2573.0,3025.0,3256.0,3092.0,3050.0,3136.0,3187.0,2990.0,3650.0
MU,4107751,  Figueira,2726.0,2500.0,2500.0,2500.0,2460.0,2478.0,2975.0,3106.0,3200.0,3200.0,2727.0,3200.0,3001.0,3000.0
MU,4107850,  Flor da Serra do Sul,2451.0,1200.0,2411.0,2895.0,2900.0,2500.0,3000.0,3500.0,1800.0,3200.0,3050.0,3200.0,3010.0,3600.0
MU,4107801,  Floraí,2106.0,2150.0,2600.0,2400.0,2500.0,2047.0,2953.0,3350.0,2237.0,3200.0,2775.0,3336.0,3470.0,3000.0
MU,4107900,  Floresta,2700.0,2450.0,2300.0,2900.0,2949.0,1137.0,3450.0,3540.0,2170.0,3600.0,3376.0,3492.0,3397.0,4000.0
MU,4108007,  Florestópolis,2378.0,1740.0,2639.0,2580.0,2939.0,2460.0,3127.0,3480.0,2640.0,3480.0,1560.0,3480.0,2460.0,3480.0
MU,4108106,  Flórida,1735.0,1860.0,1700.0,2850.0,2280.0,1750.0,3250.0,3230.0,2370.0,3517.0,2500.0,3897.0,3100.0,3600.0
MU,4108205,  Formosa do Oeste,2036.0,2350.0,2700.0,2900.0,3000.0,1800.0,3350.0,3350.0,1600.0,3790.0,3855.0,3993.0,3684.0,4300.0
MU,4108304,  Foz do Iguaçu,2200.0,2500.0,3470.0,3470.0,3470.0,3470.0,3369.0,3595.0,1537.0,3843.0,3523.0,2851.0,3459.0,3411.0
MU,4108452,  Foz do Jordão,2673.0,2400.0,2992.0,2939.0,2871.0,2850.0,3174.0,3450.0,2837.0,3332.0,3347.0,3248.0,3496.0,3870.0
MU,4108320,  Francisco Alves,2000.0,2500.0,1494.0,2930.0,2499.0,1200.0,3185.0,3198.0,1355.0,2836.0,2397.0,3066.0,3590.0,3400.0
MU,4108403,  Francisco Beltrão,2658.0,1450.0,1623.0,2793.0,2595.0,2237.0,3113.0,3573.0,2106.0,2924.0,2529.0,3255.0,3167.0,3500.0
MU,4108502,  General Carneiro,2600.0,1450.0,2199.0,2681.0,2251.0,2200.0,2600.0,2800.0,2500.0,2400.0,2350.0,2500.0,2500.0,2900.0
MU,4108551,  Godoy Moreira,2600.0,1700.0,2200.0,2500.0,3900.0,2800.0,2800.0,3403.0,2658.0,3000.0,2850.0,3000.0,2480.0,3500.0
MU,4108601,  Goioerê,2520.0,1934.0,2950.0,3193.0,3100.0,2480.0,3715.0,3400.0,2347.0,3362.0,3406.0,3406.0,3271.0,3900.0
MU,4108650,  Goioxim,2540.0,2100.0,2700.0,2846.0,2648.0,2491.0,2928.0,3250.0,2647.0,3363.0,3068.0,3000.0,3298.0,3810.0
MU,4108700,  Grandes Rios,2500.0,1750.0,2000.0,2500.0,2800.0,2900.0,2900.0,3350.0,2800.0,2800.0,3000.0,3500.0,2230.0,2230.0
MU,4108809,  Guaíra,1609.0,2727.0,1741.0,2836.0,2860.0,1594.0,3125.0,3339.0,1859.0,3382.0,2693.0,2727.0,3287.0,3600.0
MU,4108957,  Guamiranga,2586.0,2250.0,2540.0,2850.0,2640.0,2198.0,2773.0,3057.0,3127.0,2948.0,2945.0,3040.0,2887.0,3525.0
MU,4109005,  Guapirama,2600.0,2560.0,2500.0,2400.0,3200.0,2750.0,3010.0,3347.0,2947.0,3223.0,1983.0,3000.0,2727.0,3500.0
MU,4109104,  Guaporema,1800.0,2500.0,1800.0,2600.0,2600.0,1400.0,3197.0,2907.0,2105.0,3000.0,1598.0,3200.0,3000.0,3200.0
MU,4109203,  Guaraci,1845.0,1260.0,1560.0,2699.0,2699.0,2400.0,3100.0,3480.0,2220.0,3480.0,3765.0,3220.0,2220.0,3400.0
MU,4109302,  Guaraniaçu,2750.0,2900.0,2880.0,3200.0,3050.0,2330.0,3021.0,3262.0,2049.0,3217.0,3298.0,3148.0,2989.0,3838.0
MU,4109401,  Guarapuava,2800.0,2600.0,2970.0,3000.0,2849.0,2498.0,3203.0,3444.0,3049.0,3511.0,3529.0,3499.0,3600.0,4120.0
MU,4109658,  Honório Serpa,2024.0,1920.0,2299.0,2804.0,2295.0,2693.0,2595.0,3641.0,2062.0,3126.0,3208.0,3335.0,3450.0,3895.0
MU,4109708,  Ibaiti,2911.0,2500.0,2746.0,3100.0,2975.0,3138.0,2975.0,3600.0,2056.0,3000.0,2479.0,3224.0,2800.0,2800.0
MU,4109757,  Ibema,2716.0,2055.0,3100.0,3200.0,3222.0,3000.0,3441.0,3595.0,2725.0,3223.0,3221.0,3222.0,3446.0,3500.0
MU,4109807,  Ibiporã,1980.0,2220.0,2040.0,2460.0,2580.0,2100.0,2820.0,3526.0,2480.0,2892.0,2420.0,3350.0,2250.0,3600.0
MU,4109906,  Icaraíma,1500.0,1600.0,1350.0,1800.0,1599.0,1314.0,2500.0,2501.0,580.0,2470.0,1700.0,1499.0,3000.0,1700.0
MU,4110003,  Iguaraçu,2230.0,2250.0,2000.0,3050.0,3100.0,2330.0,3300.0,3350.0,2355.0,3470.0,2730.0,3500.0,3000.0,3470.0
MU,4110052,  Iguatu,3223.0,2800.0,2490.0,3150.0,3200.0,3300.0,3291.0,3719.0,2611.0,3500.0,3671.0,3670.0,4003.0,3900.0
MU,4110078,  Imbaú,2800.0,2000.0,2500.0,3000.0,2700.0,2730.0,3000.0,3200.0,3200.0,3500.0,2577.0,3368.0,3242.0,3800.0
MU,4110102,  Imbituva,2771.0,2380.0,2680.0,2950.0,2769.0,2699.0,3063.0,3310.0,3074.0,2984.0,3226.0,3421.0,3274.0,3750.0
MU,4110409,  Indianópolis,2100.0,2100.0,2500.0,2700.0,2250.0,1700.0,2800.0,3100.0,1800.0,2800.0,2250.0,3200.0,2500.0,3300.0
MU,4110508,  Ipiranga,3000.0,3100.0,3100.0,3300.0,3100.0,3300.0,3250.0,3498.0,3497.0,3695.0,3098.0,3691.0,3374.0,3900.0
MU,4110607,  Iporã,1600.0,2300.0,1800.0,2691.0,2484.0,1636.0,3050.0,2933.0,896.0,2182.0,2223.0,2441.0,2961.0,3200.0
MU,4110656,  Iracema do Oeste,2230.0,2400.0,2200.0,3000.0,3100.0,2000.0,3300.0,3346.0,1697.0,3690.0,3613.0,3913.0,3346.0,4200.0
MU,4110706,  Irati,2604.0,2340.0,2550.0,2800.0,2674.0,2524.0,3050.0,3213.0,3069.0,3021.0,3135.0,3280.0,2989.0,3600.0
MU,4110805,  Iretama,2600.0,2920.0,2700.0,3132.0,3400.0,2690.0,3000.0,3644.0,2727.0,2962.0,2882.0,3286.0,2393.0,3200.0
MU,4110904,  Itaguajé,1050.0,1149.0,1449.0,3200.0,1750.0,1849.0,3032.0,3282.0,2158.0,2220.0,1500.0,2650.0,3000.0,3249.0
MU,4110953,  Itaipulândia,1977.0,2480.0,3273.0,3272.0,3346.0,713.0,3088.0,3211.0,1795.0,3400.0,2775.0,2748.0,3397.0,3100.0
MU,4111001,  Itambaracá,2700.0,2070.0,2350.0,2800.0,2880.0,1858.0,3059.0,3350.0,2630.0,3373.0,1690.0,2619.0,3209.0,3091.0
MU,4111100,  Itambé,2730.0,2150.0,2100.0,2974.0,2974.0,1185.0,3160.0,3640.0,2250.0,3493.0,3100.0,3380.0,3000.0,4000.0
MU,4111209,  Itapejara d'Oeste,2454.0,1711.0,1479.0,2586.0,2258.0,2446.0,2700.0,2910.0,1416.0,2707.0,3040.0,3242.0,2917.0,4000.0
MU,4111407,  Ivaí,2700.0,2800.0,2600.0,3000.0,3000.0,3300.0,3100.0,3400.0,3300.0,3495.0,2903.0,3466.0,3360.0,3800.0
MU,4111506,  Ivaiporã,3000.0,2680.0,2700.0,3000.0,3000.0,3300.0,3200.0,3477.0,2975.0,4000.0,3400.0,3300.0,2600.0,3500.0
MU,4111605,  Ivatuba,2750.0,2600.0,2600.0,3100.0,3000.0,1850.0,3570.0,3500.0,2820.0,3766.0,3210.0,3658.0,3698.0,3750.0
MU,4111704,  Jaboti,2973.0,2500.0,2500.0,3200.0,3200.0,2396.0,3099.0,3350.0,3350.0,3000.0,2479.0,3235.0,3000.0,3400.0
MU,4111902,  Jaguapitã,1970.0,1680.0,1560.0,2820.0,3000.0,2639.0,3200.0,3420.0,2700.0,2940.0,1560.0,3220.0,2460.0,3400.0
MU,4112009,  Jaguariaíva,3140.0,2000.0,2800.0,3243.0,3170.0,2800.0,3200.0,3397.0,3540.0,3592.0,3097.0,3689.0,3388.0,4000.0
MU,4112108,  Jandaia do Sul,3000.0,2700.0,2600.0,2090.0,3100.0,2480.0,2800.0,3300.0,2500.0,3400.0,3250.0,3400.0,2353.0,3650.0
MU,4112207,  Janiópolis,2596.0,2355.0,2130.0,2130.0,2975.0,2975.0,3246.0,3347.0,2095.0,3394.0,3091.0,3316.0,3101.0,3470.0
MU,4112306,  Japira,2931.0,2500.0,2960.0,3120.0,3200.0,2395.0,3200.0,3200.0,3104.0,3460.0,2479.0,3467.0,3000.0,3470.0
MU,4112405,  Japurá,2200.0,2400.0,2100.0,2700.0,4300.0,984.0,3100.0,3400.0,1800.0,2940.0,2462.0,3450.0,2800.0,3500.0
MU,4112504,  Jardim Alegre,3000.0,2400.0,2650.0,3000.0,3000.0,3300.0,3100.0,3400.0,2975.0,3600.0,3400.0,3300.0,2600.0,3500.0
MU,4112603,  Jardim Olinda,1365.0,1500.0,1240.0,2620.0,2305.0,1815.0,3204.0,3362.0,2513.0,3126.0,1650.0,2955.0,2994.0,3400.0
MU,4112702,  Jataizinho,2700.0,1983.0,1980.0,2700.0,2850.0,1880.0,3000.0,3347.0,2479.0,3200.0,1740.0,3100.0,2940.0,3304.0
MU,4112751,  Jesuítas,2230.0,2400.0,2500.0,3000.0,3250.0,2000.0,3698.0,3700.0,2000.0,3950.0,3543.0,3996.0,3347.0,4200.0
MU,4112801,  Joaquim Távora,2500.0,1700.0,2496.0,2296.0,3100.0,2452.0,3101.0,3200.0,3053.0,3200.0,1983.0,3000.0,2603.0,3500.0
MU,4112900,  Jundiaí do Sul,2400.0,2100.0,2400.0,2500.0,3070.0,2723.0,3100.0,3347.0,2802.0,3471.0,1736.0,2800.0,2603.0,3800.0
MU,4112959,  Juranda,2727.0,2600.0,2626.0,2626.0,3339.0,2311.0,3741.0,3403.0,2580.0,3364.0,3580.0,3411.0,3687.0,3900.0
MU,4113007,  Jussara,2500.0,2300.0,1500.0,2700.0,2300.0,1900.0,2864.0,3400.0,2464.0,2933.0,2229.0,3447.0,2709.0,2975.0
MU,4113106,  Kaloré,3200.0,2400.0,2500.0,3200.0,3160.0,2000.0,2700.0,3400.0,2373.0,3300.0,3100.0,3570.0,2340.0,3704.0
MU,4113205,  Lapa,2628.0,1815.0,2900.0,3000.0,3000.0,2500.0,2800.0,3098.0,3165.0,3241.0,2850.0,3235.0,3350.0,3350.0
